id,user_name,category_url,category_name,pages_loaded,load_time,load_date,load_time_start,load_time_end,items_count,max_bonus_percent
151,user1,https://megamarket.ru/catalog/igry-dlya-playstation/,Игры для PlayStation,497,953.0,2024-08-07 05:05:14,2024-08-07 04:49:20,2024-08-07 05:05:14,21769,24.0
152,user1,https://megamarket.ru/catalog/igry-dlya-xbox/,Игры для Xbox,82,134.0,2024-08-07 05:07:29,2024-08-07 05:05:15,2024-08-07 05:07:29,3594,24.0
153,user1,https://megamarket.ru/catalog/igry-dlya-nintendo/,Игры на Nintendo,145,244.0,2024-08-07 05:11:35,2024-08-07 05:07:30,2024-08-07 05:11:35,6317,20.0
154,user1,https://megamarket.ru/catalog/kollekcionnye-figurki/,Коллекционные фигурки,220,357.0,2024-08-07 05:17:34,2024-08-07 05:11:36,2024-08-07 05:17:34,9632,36.0
155,user1,https://megamarket.ru/catalog/kollekcionnye-predmety/,Коллекционные предметы,31,48.0,2024-08-07 05:18:24,2024-08-07 05:17:36,2024-08-07 05:18:24,1342,29.0
156,user1,https://megamarket.ru/catalog/fotoapparaty/,Цифровые фотоаппараты,35,57.0,2024-08-07 05:19:22,2024-08-07 05:18:25,2024-08-07 05:19:22,1495,16.0
157,user1,https://megamarket.ru/catalog/obuektivy-dlya-fotoapparatov/,Фотообъективы,47,76.0,2024-08-07 05:20:40,2024-08-07 05:19:24,2024-08-07 05:20:40,2056,20.0
158,user1,https://megamarket.ru/catalog/svetofiltry/,Светофильтры,67,113.0,2024-08-07 05:22:35,2024-08-07 05:20:42,2024-08-07 05:22:35,2935,20.0
159,user1,https://megamarket.ru/catalog/karty-pamyati/,Карты памяти,198,324.0,2024-08-07 05:28:00,2024-08-07 05:22:37,2024-08-07 05:28:00,8692,36.0
160,user1,https://megamarket.ru/catalog/akkumulyatory-dlya-fotoapparatov/,Аккумуляторы для фотоаппаратов,38,60.0,2024-08-07 05:29:02,2024-08-07 05:28:02,2024-08-07 05:29:02,1644,16.0
161,user1,https://megamarket.ru/catalog/aksessuary-dlya-fotooborudovaniya/,Аксессуары для фотооборудования,104,166.0,2024-08-07 05:31:50,2024-08-07 05:29:03,2024-08-07 05:31:50,4568,36.0
162,user1,https://megamarket.ru/catalog/prochie-aksessuary-dlya-fotoapparatov/,Прочие аксессуары для фотоаппаратов,6,9.0,2024-08-07 05:32:00,2024-08-07 05:31:51,2024-08-07 05:32:00,230,13.0
163,user1,https://megamarket.ru/catalog/fotovspyshki/,Фотовспышки,11,20.0,2024-08-07 05:32:21,2024-08-07 05:32:02,2024-08-07 05:32:21,477,16.0
164,user1,https://megamarket.ru/catalog/ekshn-kamery-i-aksessuary/,Экшн-камеры и аксессуары,79,133.0,2024-08-07 05:34:35,2024-08-07 05:32:23,2024-08-07 05:34:35,3459,46.0
165,user1,https://megamarket.ru/catalog/videokamery/,Видеокамеры,4,7.0,2024-08-07 05:34:44,2024-08-07 05:34:37,2024-08-07 05:34:44,153,17.0
166,user1,https://megamarket.ru/catalog/postoyannyy-svet/,Постоянный свет,52,89.0,2024-08-07 05:36:15,2024-08-07 05:34:46,2024-08-07 05:36:15,2272,19.0
167,user1,https://megamarket.ru/catalog/impulsnyy-svet/,Импульсный свет,11,19.0,2024-08-07 05:36:36,2024-08-07 05:36:16,2024-08-07 05:36:36,481,16.0
168,user1,https://megamarket.ru/catalog/kolcevoy-svet/,Кольцевые лампы,24,52.0,2024-08-07 05:37:29,2024-08-07 05:36:37,2024-08-07 05:37:29,1051,37.0
169,user1,https://megamarket.ru/catalog/fotozont/,Фотозонты,6,10.0,2024-08-07 05:37:41,2024-08-07 05:37:31,2024-08-07 05:37:41,226,16.0
170,user1,https://megamarket.ru/catalog/softboks/,Софтбоксы,13,27.0,2024-08-07 05:38:09,2024-08-07 05:37:42,2024-08-07 05:38:09,558,16.0
171,user1,https://megamarket.ru/catalog/fony/,Фотофоны,43,75.0,2024-08-07 05:39:26,2024-08-07 05:38:11,2024-08-07 05:39:26,1856,36.0
172,user1,https://megamarket.ru/catalog/fotoboksy/,Фотобоксы,10,15.0,2024-08-07 05:39:43,2024-08-07 05:39:27,2024-08-07 05:39:43,404,19.0
173,user1,https://megamarket.ru/catalog/sinhronizatory/,Синхронизаторы,7,14.0,2024-08-07 05:39:58,2024-08-07 05:39:44,2024-08-07 05:39:58,284,16.0
174,user1,https://megamarket.ru/catalog/demonstracionnye-podstavki/,Демонстрационные подставки,2,3.0,2024-08-07 05:40:02,2024-08-07 05:39:59,2024-08-07 05:40:02,72,36.0
